	0
c000911	100.0:p__Acidobacteriota
c000286	100.0:p__Actinobacteriota
c000837	60.0:p__Armatimonadota
c004954	100.0:p__Bacteroidota
c006484	4.0:p__Bdellovibrionota
c000178	86.0:p__Campylobacterota
c001220	100.0:p__Chlamydiota; c__Chlamydiia
c000596	99.0:p__Chloroflexota
c000191	100.0:p__Cyanobacteria
c000420	100.0:p__Deinococcota; c__Deinococci
c001721	6.0:p__Desulfobacterota
c009808	100.0:p__Desulfobacterota_I; c__Desulfovibrionia; o__Desulfovibrionales
c000869	75.0:p__Elusimicrobiota
c002263	100.0:p__Fibrobacterota
c001522	45.0:p__Firmicutes
c002663	83.0:p__Firmicutes_A
c002049	92.0:p__Firmicutes_B
c002050	15.0:p__Firmicutes_C
c001524	67.0:p__Firmicutes_D
c000591	100.0:p__Firmicutes_G
c002275	100.0:p__Gemmatimonadota
c003851	100.0:p__Marinisomatota
c003967	38.0:p__Myxococcota
c003015	64.0:p__Nitrospirota
c000643	96.0:p__Omnitrophota
c000127	99.0:p__Patescibacteria
c000908	100.0:p__Planctomycetota
c006481	92.0:p__Proteobacteria
c000001	96.0:p__Spirochaetota
c000123	100.0:p__Synergistota
c000639	100.0:p__Verrucomicrobiota
